2026-06-11 01:46:47,013 | INFO | contract_rag.api.main | ContractRAG starting up...
2026-06-11 01:46:47,021 | INFO | contract_rag.generation.llm | OllamaClient ready — model=mistral temperature=0.1
2026-06-11 01:46:47,021 | INFO | contract_rag.ingestion.embedder | Loading embedding model: {'qdrant': {'url': 'http://localhost:6333', 'collection_name': 'contracts', 'vector_size': 1024}, 'embedding': {'model_name': 'BAAI/bge-large-en-v1.5', 'batch_size': 32}, 'reranker': {'model_name': 'BAAI/bge-reranker-v2-m3', 'top_n': 5}, 'retrieval': {'dense_top_k': 20, 'sparse_top_k': 20, 'rerank_top_k': 5, 'hybrid_alpha': 0.7}, 'llm': {'base_url': 'http://localhost:11434', 'model_name': 'mistral', 'temperature': 0.1, 'max_tokens': 1024}, 'chunking': {'chunk_size': 512, 'chunk_overlap': 64}, 'data': {'raw_dir': 'contract_rag/data/raw', 'processed_dir': 'contract_rag/data/processed', 'cuad_sample_size': 50}}
2026-06-11 01:46:47,030 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-06-11 01:50:42,392 | INFO | contract_rag.api.main | ContractRAG starting up...
2026-06-11 01:50:42,395 | INFO | contract_rag.generation.llm | OllamaClient ready — model=mistral temperature=0.1
2026-06-11 01:50:42,395 | INFO | contract_rag.ingestion.embedder | Loading embedding model: BAAI/bge-large-en-v1.5
2026-06-11 01:50:42,400 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-06-11 01:50:43,340 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:43,403 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/modules.json "HTTP/1.1 200 OK"
2026-06-11 01:50:43,669 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:43,732 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-06-11 01:50:43,742 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from BAAI/bge-large-en-v1.5.
2026-06-11 01:50:44,039 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:44,162 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-06-11 01:50:44,437 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:44,545 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/README.md "HTTP/1.1 200 OK"
2026-06-11 01:50:44,841 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:44,882 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/modules.json "HTTP/1.1 200 OK"
2026-06-11 01:50:45,154 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:45,217 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-06-11 01:50:45,482 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-06-11 01:50:45,745 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:45,808 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/config.json "HTTP/1.1 200 OK"
2026-06-11 01:50:46,100 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:46,140 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/config.json "HTTP/1.1 200 OK"
2026-06-11 01:50:46,694 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-06-11 01:50:46,975 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-06-11 01:50:47,238 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/video_preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-06-11 01:50:47,512 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-06-11 01:50:47,774 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:47,837 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/tokenizer_config.json "HTTP/1.1 200 OK"
2026-06-11 01:50:48,108 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:48,147 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/config.json "HTTP/1.1 200 OK"
2026-06-11 01:50:48,411 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-en-v1.5/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-11 01:50:48,451 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09/config.json "HTTP/1.1 200 OK"
